Entry,Type_OC,Chemical_OC,Host,Processing,Ap,Amin,Amax,Ep,Emin,Emax,QY,nopt
142,QD,polymer,PLMA,bulk,450,300,530,620,550,700,54.3,1.79
143,QD,polymer,"3-mercaptopropionic acid",film,550,350,700,700,400,1000,45,1.68
144,QD,polymer,PMMA,bulk,470,400,650,560,475,700,20,2.01
145,QD,polymer,PVP,film,450,300,800,630,580,700,50,1.93
146,QDdye,polymer,PVP,film,500,350,600,560,450,700,86,16.32
147,QD,polymer,"poly(vinylidene fluoride)",film,350,300,600,580,500,650,,0.81
148,QD,polymer,PVP,film,400,300,550,550,450,700,91.1,6.40
149,QD,solvent,KH-792,solution,362,300,450,442,400,650,62,4.40
150,dye,polymer,"EHM-co-FMA and BMIH",film,570,300,650,620,550,750,50,4.90
151,dye,polymer,GTPn-based,film,500,400,600,630,500,750,6.6,7.70
152,dye,polymer,PMMA,film,450,300,550,568,450,700,27.2,8.00
153,dye,polymer,PMMA,bulk,420,300,500,550,400,800,35,2.33
154,dye,polymer,PBzMA,film,400,300,450,490,400,700,75,2.32
155,dye,polymer,PDMS,bulk,520,450,550,538,500,700,93,10.18
156,dye,polymer,PDMS,bulk,520,450,550,538,500,700,93.,10.12
157,QD,polymer,PMMA,bulk,516,300,550,528,470,750,100,82.20
158,QD,polymer,PMMA,bulk,487,300,600,599,550,650,100,91.80
159,QD,polymer,PMMA,bulk,437,300,450,590,525,700,100,91.80
160,dye,polymer,PMMA,fiber,575,300,610,620,570,720,100,21.00
161,dye,,,bulk,575,300,610,620,570,720,3,2.00
162,dye,polymer,bulk,575,300,610,620,570,720,96,37.73
163,dye,polymer,"styrene acrylonitrile resin",bulk,576,300,610,647,575,800,96,8.20
164,dye,polymer,PMMA,bulk,576,300,610,648,575,800,96,8.90
165,dye,polymer,polycarbonate,bulk,576,300,610,651,575,800,96,8.30
166,dye,polymer,polycarbonate,bulk,576,300,610,651,575,800,960,8.00
167,dye,polymer,polycarbonate,bulk,576,300,610,650,575,800,96,8.90
168,dye,polymer,PMMA,bulk,370,300,500,509,480,750,68,5.20
169,dye,polymer,PMMA,bulk,370,300,500,509,480,750,68.,3.70
170,QD,polymer,PLMA-co-EGDA,bulk,400,300,550,513,475,550,65,1.22
171,dye,polymer,PMMA,bulk,400,300,550,600,400,800,,6.40
172,dye,polymer,PDMS,bulk,461,300,550,590,500,750,100,4.20
173,CD,polymer,PDMS,film,325,200,700,555,500,700,32,4.26
174,QDNP,polymer,thiol-ene,film,440,410,523,525,440,710,61,2.90
175,Ln,polymer,"Disperbyk 2015",film,330,300,400,615,570,640,20,4.30
176,dye,polymer,PVP,film,635,400,700,909,800,1000,12.93,1.21
177,QD,polymer,PMMA,film,390,350,463,478,425,550,,2.52
178,QD,polymer,PMMA,film,425,350,520,525,475,550,,4.12
179,CD,polymer,PVA,film,366,300,450,450,390,600,57.77,1.98
180,QD,solvent,toluene,film,350,300,450,511,420,775,65.4,3.26
181,QD,solvent,toluene,film,350,300,620,630,450,775,94.6,6.53
182,QD,solvent,toluene,film,350,300,620,570,420,775,80,9.94
183,dye,polymer,polymer,bulk,530,300,600,560,500,700,95,19.00
184,Ln,glass,glass,bulk,583,500,900,1060,1000,1200,62,10.00
185,dye,polymer,PMMA,film,530,300,600,560,500,700,,6.30
186,Ln,glass,glass,bulk,583,500,900,1060,1000,1200,68,5.90
187,dye,polymer,PMMA,film,523,400,550,577,520,650,99,20.50
188,dye,polymer,PMMA,film,560,400,700,651,575,850,31,1.40
189,dye,polymer,PMMA,film,542,400,650,633,575,850,38,3.10
190,dye,polymer,PMMA,film,523,400,700,618,575,850,68,4.40
191,dye,polymer,PMMA,film,447,400,525,550,525,700,66,1.80
192,CD,polymer,PVP,film,477,350,600,575,525,700,80,5.17
193,CD,polymer,PLMA-co-EGDA,bulk,300,300,520,460,380,630,6.07,
